A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05	F06	G01	G02	G03	G04	G05	G06	H01	H02	H03	H04	H05	H06
28d43762002e8f4bda6af64ee4d6191c	0	0	0	0	12	13	47	0	0	0	0	0	0	90	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	452	0	0	0	0	0	979	0	0	0	0	0	1054
019ee817dc5280d73dff1884e73afa4d	0	0	0	0	49	49	87	0	0	0	0	0	137	65	0	0	0	0	0	140	0	0	0	0	0	212	0	0	0	0	0	859	0	0	0	0	0	638	0	0	0	0	0	263	0	0	0	0	0	228
e55508bb54b5c9a8badff9cc82af264a	0	0	0	29	0	0	0	0	0	0	27	0	0	0	595	0	0	0	0	0	43	0	0	0	0	0	490	0	0	184	0	0	0	0	0	0	0	0	1124	0	100	0	0	0	97	0	33	0	0	0
4216d35e02ff826329d726d9b0182d88	0	0	0	162	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	43	1299	0	0	0	0	35	0	0	0	0	0	860	0	0	0	0	0	118	0	0	0
649bdab1e863f8925b5aa10b57674b36	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	286	86	0	0	0	0	0	199	0	0	0	0	0	175	0	0	0	0	0	625	6	0	0	0	49	165	0	172	0	0	637	123	85
2a5bc982355c0805f2cf707627a2b4e6	0	0	1185	0	0	0	0	0	0	170	0	0	0	0	0	79	895	0	0	0	0	6	94	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
8f21969955d74717f19f7dc68a1da272	0	0	0	0	93	62	356	0	0	0	0	0	199	283	0	0	0	0	0	279	0	0	0	0	0	248	0	0	0	0	0	309	0	0	0	0	0	176	0	0	0	0	0	259	0	0	0	0	0	232
b92b7f5739fb5f0bf5365a678aadcb21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	53	0	0	0	0	234	916	0	0	0	0	18	0	0
e0df2d91b976298c03bddec174308d31	0	0	0	0	561	523	0	0	0	0	0	0	1162	0	0	0	0	0	0	84	15	0	0	0	0	25	0	0	0	0	0	6	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	7
32c74f57edb39c3f8d93a26c8bf604ae	0	648	0	0	0	0	0	0	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d54ee38d41dc4c62b7b93c167875d20	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	1212	278	0	0	0	0	0	0	0	0	0	0	327	14	0	0	0	0	0	0	0	0	0	0	111	24	0	0	0	0	0	0	0	0	0
e8199aad09db8d3ac160e731f43d4294	0	0	44	0	0	0	0	0	0	3	0	0	0	0	0	56	48	0	41	0	0	8	0	0	17	0	0	27	0	0	435	0	0	0	0	0	45	0	0	49	0	184	1332	0	0	30	0	0	40	0
28d133185888cfa59f978359ee172f50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	282	0	0	0	0	0	24	0	0	0	0	0	575	0	0	0	0	0	98	0	0	0	0	506	619	0	0	0	0	86	109	0
9fce787f85b3787388135f64ab969c88	46	0	0	0	0	0	0	0	0	0	41	0	0	0	313	0	0	0	0	0	6	0	0	0	0	0	927	0	0	10	0	0	11	0	0	142	0	0	354	0	0	0	0	0	10	0	404	0	0	0
f402fbd54e6faa7808ea80c068993915	368	0	0	0	0	0	0	209	0	0	0	14	0	0	215	559	6	0	0	0	17	313	0	0	0	0	144	178	0	0	0	0	0	13	0	0	0	0	128	0	0	0	0	0	40	0	17	14	0	0
18e6286b1b0fd770540b3dfbde15be84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
